dt_venda;cd_empresa;cd_mercadoria;qt_vendida
01.10.2018 00:00:00;1;117700;295
01.11.2018 00:00:00;1;117700;279
01.12.2018 00:00:00;1;117700;254
01.01.2019 00:00:00;1;117700;377
01.01.2016 00:00:00;1;117718;277
01.02.2016 00:00:00;1;117718;175
01.03.2016 00:00:00;1;117718;525
01.04.2016 00:00:00;1;117718;233
01.05.2016 00:00:00;1;117718;316
01.06.2016 00:00:00;1;117718;331
01.07.2016 00:00:00;1;117718;375
01.08.2016 00:00:00;1;117718;266
01.11.2016 00:00:00;1;117718;462
01.12.2016 00:00:00;1;117718;571
01.01.2017 00:00:00;1;117718;286
01.02.2017 00:00:00;1;117718;339
01.03.2017 00:00:00;1;117718;581
01.04.2017 00:00:00;1;117718;450
01.05.2017 00:00:00;1;117718;484
01.06.2017 00:00:00;1;117718;537
01.07.2017 00:00:00;1;117718;420
01.08.2017 00:00:00;1;117718;428
01.09.2017 00:00:00;1;117718;341
01.10.2017 00:00:00;1;117718;286
01.11.2017 00:00:00;1;117718;413
01.12.2017 00:00:00;1;117718;323
01.01.2018 00:00:00;1;117718;667
01.02.2018 00:00:00;1;117718;581
01.03.2018 00:00:00;1;117718;441
01.04.2018 00:00:00;1;117718;795
01.05.2018 00:00:00;1;117718;340
01.06.2018 00:00:00;1;117718;469
01.07.2018 00:00:00;1;117718;481
01.08.2018 00:00:00;1;117718;482
01.09.2018 00:00:00;1;117718;487
01.10.2018 00:00:00;1;117718;384
01.11.2018 00:00:00;1;117718;290
01.12.2018 00:00:00;1;117718;683
01.01.2019 00:00:00;1;117718;478
01.01.2016 00:00:00;1;117726;39
01.02.2016 00:00:00;1;117726;16
01.03.2016 00:00:00;1;117726;60
01.04.2016 00:00:00;1;117726;68
01.05.2016 00:00:00;1;117726;281
01.06.2016 00:00:00;1;117726;110
01.07.2016 00:00:00;1;117726;77
01.08.2016 00:00:00;1;117726;71
01.11.2016 00:00:00;1;117726;38
01.12.2016 00:00:00;1;117726;29
01.01.2017 00:00:00;1;117726;37
01.02.2017 00:00:00;1;117726;16
01.03.2017 00:00:00;1;117726;79
01.04.2017 00:00:00;1;117726;76
01.05.2017 00:00:00;1;117726;66
01.06.2017 00:00:00;1;117726;36
01.07.2017 00:00:00;1;117726;84
01.08.2017 00:00:00;1;117726;38
01.09.2017 00:00:00;1;117726;55
01.10.2017 00:00:00;1;117726;29
01.11.2017 00:00:00;1;117726;66
01.12.2017 00:00:00;1;117726;26
01.01.2018 00:00:00;1;117726;15
01.02.2018 00:00:00;1;117726;39
01.03.2018 00:00:00;1;117726;110
01.04.2018 00:00:00;1;117726;28
01.05.2018 00:00:00;1;117726;49
01.06.2018 00:00:00;1;117726;103
01.07.2018 00:00:00;1;117726;40
01.08.2018 00:00:00;1;117726;12
01.09.2018 00:00:00;1;117726;25
01.10.2018 00:00:00;1;117726;55
01.11.2018 00:00:00;1;117726;31
01.12.2018 00:00:00;1;117726;18
01.01.2019 00:00:00;1;117726;28
01.01.2016 00:00:00;1;118120;2801
01.02.2016 00:00:00;1;118120;56
01.03.2016 00:00:00;1;118120;54
01.04.2016 00:00:00;1;118120;1202
01.05.2016 00:00:00;1;118120;1164
01.06.2016 00:00:00;1;118120;1611
01.07.2016 00:00:00;1;118120;1697
01.08.2016 00:00:00;1;118120;665
01.11.2016 00:00:00;1;118120;1743
01.12.2016 00:00:00;1;118120;1463
01.01.2017 00:00:00;1;118120;983
01.02.2017 00:00:00;1;118120;1263
01.03.2017 00:00:00;1;118120;1769
01.04.2017 00:00:00;1;118120;962
01.05.2017 00:00:00;1;118120;2577
01.06.2017 00:00:00;1;118120;1164
01.07.2017 00:00:00;1;118120;520
01.08.2017 00:00:00;1;118120;1713
01.09.2017 00:00:00;1;118120;1068
01.10.2017 00:00:00;1;118120;319
01.11.2017 00:00:00;1;118120;1070
