dt_venda,cd_empresa,cd_mercadoria,qt_vendida
2018-09-01,1,117726,25
2018-10-01,1,117726,55
2018-11-01,1,117726,14
2016-01-01,1,118120,2801
2016-02-01,1,118120,56
2016-03-01,1,118120,54
2016-04-01,1,118120,1202
2016-05-01,1,118120,1164
2016-06-01,1,118120,1611
2016-07-01,1,118120,1697
2016-08-01,1,118120,665
2016-11-01,1,118120,1743
2016-12-01,1,118120,1463
2017-01-01,1,118120,983
2017-02-01,1,118120,1263
2017-03-01,1,118120,1769
2017-04-01,1,118120,962
2017-05-01,1,118120,2577
2017-06-01,1,118120,1164
2017-07-01,1,118120,520
2017-08-01,1,118120,1713
2017-09-01,1,118120,1068
2017-10-01,1,118120,319
2017-11-01,1,118120,1070
2017-12-01,1,118120,363
2018-01-01,1,118120,771
2018-02-01,1,118120,697
2018-03-01,1,118120,399
2018-04-01,1,118120,572
2018-05-01,1,118120,582
2018-06-01,1,118120,472
2018-07-01,1,118120,947
2018-08-01,1,118120,625
2018-09-01,1,118120,562
2018-10-01,1,118120,855
2018-11-01,1,118120,130
2016-01-01,1,118138,29
2016-02-01,1,118138,0
2016-03-01,1,118138,48
2016-04-01,1,118138,47
2016-05-01,1,118138,20
2016-06-01,1,118138,13
2016-07-01,1,118138,11
2016-08-01,1,118138,27
2016-11-01,1,118138,8
2016-12-01,1,118138,14
2017-01-01,1,118138,12
2017-02-01,1,118138,5
2017-03-01,1,118138,38
2017-04-01,1,118138,30
2017-05-01,1,118138,66
2017-06-01,1,118138,73
2017-07-01,1,118138,88
2017-08-01,1,118138,67
2017-09-01,1,118138,42
2017-10-01,1,118138,29
2017-11-01,1,118138,14
2017-12-01,1,118138,18
2018-01-01,1,118138,20
2018-02-01,1,118138,46
2018-03-01,1,118138,66
2018-04-01,1,118138,69
2018-05-01,1,118138,48
2018-06-01,1,118138,23
2018-07-01,1,118138,106
2018-08-01,1,118138,111
2018-09-01,1,118138,119
2018-10-01,1,118138,222
2018-11-01,1,118138,9
2016-01-01,1,120795,0
2016-02-01,1,120795,105
2016-03-01,1,120795,171
2016-04-01,1,120795,156
